0.1
0.5
0.1
1
(0.272029,-0.0385065)
(0.271429,-0.0423453)
(0.270777,-0.0461742)
(0.270072,-0.0499925)
(0.269315,-0.0537997)
(0.268507,-0.0575951)
(0.267646,-0.061378)
(0.266734,-0.0651479)
(0.26577,-0.0689041)
(0.264755,-0.0726459)
(0.26369,-0.0763729)
(0.262573,-0.0800843)
(0.261406,-0.0837796)
(0.260189,-0.0874581)
(0.258922,-0.0911193)
(0.257605,-0.0947625)
(0.256238,-0.0983871)
(0.254822,-0.101993)
(0.253357,-0.105578)
(0.251843,-0.109144)
(0.25028,-0.112688)
(0.248669,-0.116211)
(0.24701,-0.119712)
(0.245303,-0.12319)
(0.243548,-0.126645)
(0.241746,-0.130076)
(0.239897,-0.133483)
(0.238001,-0.136864)
(0.236059,-0.14022)
(0.234071,-0.143549)
(0.232036,-0.146852)
(0.229956,-0.150128)
(0.227831,-0.153375)
(0.22566,-0.156594)
(0.223445,-0.159783)
(0.221186,-0.162943)
(0.218882,-0.166073)
(0.216535,-0.169171)
(0.214144,-0.172238)
(0.21171,-0.175273)
(0.209234,-0.178276)
(0.206715,-0.181245)
(0.204154,-0.18418)
(0.201552,-0.187081)
(0.198908,-0.189946)
(0.196224,-0.192777)
(0.193499,-0.19557)
(0.190734,-0.198327)
(0.187929,-0.201047)
(0.185086,-0.203729)
(0.182203,-0.206372)
(0.179283,-0.208976)
(0.176324,-0.21154)
(0.173328,-0.214064)
(0.170295,-0.216547)
(0.167226,-0.218988)
(0.16412,-0.221388)
(0.16098,-0.223745)
(0.157804,-0.226058)
(0.154594,-0.228328)
(0.15135,-0.230554)
(0.148073,-0.232735)
(0.144764,-0.23487)
(0.141422,-0.236959)
(0.138048,-0.239002)
(0.134644,-0.240998)
(0.131209,-0.242946)
(0.127745,-0.244846)
(0.124252,-0.246697)
(0.12073,-0.2485)
(0.11718,-0.250252)
(0.113604,-0.251955)
(0.110001,-0.253606)
(0.106372,-0.255207)
(0.102718,-0.256756)
(0.0990406,-0.258253)
(0.0953391,-0.259697)
(0.0916149,-0.261088)
(0.0878687,-0.262426)
(0.0841012,-0.26371)
(0.0803133,-0.26494)
(0.0765057,-0.266115)
(0.0726792,-0.267235)
(0.0688347,-0.2683)
(0.0649729,-0.269309)
(0.0610947,-0.270262)
(0.057201,-0.271158)
(0.0532925,-0.271997)
(0.0493702,-0.272779)
(0.045435,-0.273504)
(0.0414876,-0.274172)
(0.0375291,-0.274781)
(0.0335603,-0.275332)
(0.029582,-0.275824)
(0.0255953,-0.276258)
(0.021601,-0.276634)
(0.0176001,-0.27695)
(0.0135935,-0.277207)
(0.00958213,-0.277404)
(0.00556692,-0.277542)
(0.00154883,-0.277621)
(-0.00247118,-0.27764)
